,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image,tsne-2d-one,tsne-2d-two
4909,48944,Men,Accessories,Jewellery,Ring,Steel,Summer,2013,Casual,Revv Men Steel Ring,48944.jpg,6.6580987,3.3576822
1957,58576,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2012,Casual,Puma Women Yellow T-shirt,58576.jpg,-5.7079196,-4.7698536
915,34007,Girls,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Gini and Jony Girls Pink Top,34007.jpg,-1.2731366,0.28344044
1133,12199,Men,Apparel,Topwear,Tshirts,Blue,Summer,2015,Casual,Basics Men Blue Polo T-shirt,12199.jpg,-3.6591663,-5.4847703
1124,59093,Women,Apparel,Innerwear,Bra,White,Summer,2017,Casual,Peri Peri Women White Bra,59093.jpg,-6.7353106,7.3559294
3469,14633,Women,Apparel,Topwear,Tops,Green,Fall,2011,Casual,United Colors of Benetton Women Printed Green Tops,14633.jpg,-7.155529,-2.4465592
158,56670,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Maxima Men Black Dial Watch,56670.jpg,3.0756,8.795189
1958,14659,Men,Apparel,Bottomwear,Trousers,Khaki,Fall,2011,Casual,Probase Men Solid LT.Khaki Trousers,14659.jpg,-4.45744,1.8269997
678,5095,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Wrangler Men's Greensboro Raw Edge Blue T-shirt,5095.jpg,-3.3510032,-8.594058
2303,58918,Men,Accessories,Ties,Ties,Red,Summer,2012,Casual,Hakashi Men Red & Black Silk Tie,58918.jpg,-3.0806274,6.1562157
